KF4 Log
z Pzz v Pvv atrue Paa abias Pbb
90750.7 14.5 9.0 305.4 -0.5 35777.3 -3.7 147.4
90751.5 14.5 11.0 305.3 0.4 35777.3 -4.0 147.0
90750.5 14.5 7.2 305.3 -1.1 35777.3 -3.5 146.6
90751.8 14.5 10.9 305.3 0.7 35777.3 -4.0 146.1
90750.2 14.5 4.9 305.2 -0.0 35777.3 -3.2 145.7
90746.9 14.5 -6.4 305.2 -2.4 35777.3 -1.6 145.3
90747.3 14.5 -4.7 305.2 -2.9 35777.3 -1.8 144.9
90745.3 14.5 -10.9 305.1 -4.1 35777.3 -1.0 144.5
90745.2 14.5 -10.6 305.1 -5.0 35777.3 -1.0 144.1
90746.3 14.5 -6.3 305.1 -3.9 35777.3 -1.6 143.6
90746.1 14.5 -6.9 305.0 -3.2 35777.3 -1.6 143.2
90745.1 14.5 -9.7 305.0 -4.3 35777.3 -1.2 142.8
90746.1 14.5 -5.8 304.9 -2.2 35777.3 -1.8 142.4
90745.9 14.5 -6.2 304.9 -3.6 35777.3 -1.7 142.0
90746.6 14.5 -3.4 304.9 -3.4 35777.3 -2.1 141.6
90747.5 14.5 -0.5 304.8 -1.5 35777.3 -2.5 141.2
90749.0 14.5 4.5 304.8 -0.9 35777.3 -3.2 140.9
90752.2 14.5 14.8 304.8 1.5 35777.3 -4.6 140.5
90751.9 14.5 13.0 304.7 0.3 35777.3 -4.3 140.1
90752.4 14.5 13.8 304.7 0.2 35777.3 -4.4 139.7
90752.2 14.5 12.3 304.7 -0.5 35777.3 -4.2 139.3
90750.7 14.5 6.5 304.6 -1.5 35777.3 -3.5 138.9
90751.9 14.5 9.7 304.6 -1.2 35777.3 -3.9 138.5
90753.9 14.5 15.7 304.6 1.6 35777.3 -4.7 138.2
90754.5 14.5 16.8 304.5 0.2 35777.3 -4.8 137.8
90752.9 14.5 10.5 304.5 -0.7 35777.3 -4.0 137.4
90753.2 14.5 10.8 304.5 -0.5 35777.3 -4.0 137.0
90752.6 14.5 7.9 304.4 -0.6 35777.3 -3.6 136.7
90755.4 14.5 16.7 304.4 0.7 35777.3 -4.8 136.3
90753.0 14.5 7.7 304.4 -3.5 35777.3 -3.6 135.9
90751.6 14.5 2.4 304.3 -2.6 35777.3 -2.9 135.6
90754.7 14.5 12.4 304.3 0.8 35777.3 -4.3 135.2
90754.9 14.5 12.5 304.3 0.2 35777.3 -4.3 134.9
90755.9 14.5 14.8 304.3 0.8 35777.3 -4.6 134.5
90754.5 14.5 9.2 304.2 0.8 35777.3 -3.8 134.1
90754.5 14.5 8.5 304.2 1.9 35777.3 -3.7 133.8
90752.9 14.4 2.7 304.2 -11.0 35777.3 -3.0 133.4
90755.3 14.4 10.5 304.1 -2.4 35777.3 -4.0 133.1
90754.9 14.4 8.2 304.1 -3.0 35777.3 -3.7 132.7
90750.0 14.4 -8.5 304.1 0.6 35777.3 -1.6 132.4
90749.5 14.4 -9.7 304.0 -7.0 35777.3 -1.5 132.1
90749.0 14.4 -10.7 304.0 -5.8 35777.3 -1.4 131.7
90750.3 14.4 -6.0 304.0 -11.2 35777.3 -2.0 131.4
90754.3 14.4 7.7 304.0 2.9 35777.3 -3.7 131.0
90754.9 14.4 9.2 303.9 1.0 35777.3 -3.9 130.7
90754.9 14.4 8.4 303.9 12.3 35777.3 -3.8 130.4
90757.4 14.4 16.5 303.9 4.4 35777.3 -4.8 130.0
90759.1 14.4 21.2 303.8 12.6 35777.3 -5.3 129.7
90759.4 14.4 21.4 303.8 86.3 35777.3 -5.3 129.4
90758.2 14.4 18.3 303.8 166.5 35777.3 -4.6 129.0
90756.4 14.4 14.5 303.8 152.7 35777.3 -3.7 128.7
90756.7 14.4 17.6 303.7 195.4 35777.3 -3.7 128.4
90754.9 14.4 15.7 303.7 370.2 35777.3 -2.8 128.1
90754.3 14.4 20.5 303.7 453.2 35777.3 -2.4 127.7
90753.4 14.4 25.1 303.6 486.9 35777.3 -1.8 127.4
90754.1 14.4 36.2 303.6 605.3 35777.3 -1.9 127.1
90756.5 14.4 53.6 303.6 615.0 35777.3 -2.5 126.8
90757.5 14.4 64.8 303.6 567.1 35777.3 -2.4 126.5
